episode,first_guess,lars_guess,florentin_guess,real_price,senfkarte,undercover_karte,undercover_produkt
1,Lars,18.99,25.60,18.99,,,
1,Florentin,3.94,1.71,6.94,,,
1,Florentin,849.00,999.00,1088.00,,,
1,Lars,3.78,11.80,6.99,,,
1,Florentin,9.99,18.2,8.51,,,
1,Lars,8.33,4.66,16.84,,,
1,Florentin,300.00,199.99,221.98,,,
1,Lars,2.99,4.60,29.89,,,
1,Florentin,34.35,18.40,89.00,,,
1,Florentin,54.99,99.40,89.72,,,
1,Lars,1.99,0.90,2.16,Lars,,
1,Florentin,1.09,1.19,1.09,,,
1,Florentin,119.00,38.99,1375.00,,,
1,Lars,6.98,29.60,12.99,,,
1,Lars,4.99,6.66,15.66,,,
1,Florentin,8.88,18.60,16.99,Florentin,,
1,Florentin,15.99,6.60,1.99,,,
1,Florentin,6.99,2.50,7.49,,,
2,Lars,7.99,11.99,2.95,,,
2,Florentin,9.99,14.90,11.97,,,
2,Lars,69.00,29.60,159.00,,,
2,Florentin,15.99,22.60,39.50,,,
2,Lars,39.00,22.80,51.67,,,
2,Florentin,15.00,9.99,5.00,,,
2,Lars,13.99,6.90,10.99,,,
2,Florentin,200.00,130.90,99.99,Florentin,,
2,Lars,9.99,6.90,2.59,Lars,,
2,Florentin,349.00,285.09,499.00,,,
3,Lars,59.99,25.90,29.89,,,
3,Florentin,13.99,8.70,7.39,,,
3,Lars,5.99,1.90,10.98,,,
3,Florentin,26.00,13.09,13.99,,,
3,Lars,7.95,2.99,14.99,,,
3,Florentin,38.77,29.99,26.34,Florentin,,
3,Lars,79.00,49.99,256.00,,,
3,Lars,6.95,8.99,14.99,Lars,,
3,Florentin,70.00,100.00,459.00,,,
4,Lars,79.33,47.40,999.00,,,
4,Florentin,16.99,12.60,17.00,,,
4,Lars,24.99,15.00,68.97,,,
4,Florentin,14.99,9.99,54.34,,,
4,Florentin,300.00,200.00,349.90,,,
4,Florentin,26.66,20.00,36.27,Florentin,,
4,Lars,11.99,30.00,7.65,Lars,,
5,Florentin,14.99,25.20,21.99,,,
5,Lars,65.00,32.60,199.98,,,
5,Lars,25.00,40.00,24.99,,,
5,Florentin,29.99,119.99,37.79,,,
5,Lars,299.00,150.00,149.00,Lars,,
5,Florentin,1500.00,599.00,589.95,Florentin,,
6,Florentin,294.00,500.00,729.99,,,
6,Lars,5.95,12.60,2.79,,,
6,Florentin,20.99,11.60,11.00,,,
6,Lars,7.98,13.09,9.99,,,
6,Florentin,299.00,49.50,69.00,Florentin,,
6,Lars,19.99,14.20,32.99,,,
6,Lars,100.00,79.99,229.00,Lars,,
7,Florentin,77.99,99.99,69.59,,,
7,Lars,25.00,40.00,15.99,,,
7,Florentin,2.99,4.00,4.95,,,
7,Lars,179.00,80.00,27.99,,,
7,Florentin,13.99,25.00,11.84,,,
7,Florentin,16.99,11.50,11.99,Florentin,,
7,Lars,8.99,5.99,12.98,Lars,,
8,Florentin,3.97,1.80,11.49,,,
8,Lars,24.99,20.00,24.99,,,
8,Lars,11.03,9.99,12.93,,,
8,Lars,49.99,99.99,109.78,,,
8,Lars,30.00,65.00,32.94,,,
8,Florentin,29.93,19.99,24.99,,,
8,Florentin,30.00,8.99,34.90,,,
8,Florentin,12.99,24.00,22.99,,,
8,Lars,29.99,16.99,12.99,,,
8,Lars,9.97,6.00,9.99,,,
8,Florentin,11.99,17.99,20.99,Florentin,,
8,Lars,6.99,11.50,12.99,Lars,,
9,Florentin,27.99,13.99,249.99,,,
9,Lars,19.99,9.99,15.99,,,
9,Florentin,103.00,49.50,27.99,,,
9,Lars,5.99,15.99,6.99,,,
9,Lars,25.99,12.99,14.91,Lars,,
9,Florentin,99.99,150.00,795.00,,,
9,Lars,34.99,26.99,22.99,,,
9,Florentin,31.99,14.99,85.99,,,
9,Florentin,129.99,179.99,69.99,Florentin,,
9,Lars,11.99,39.60,70.10,,,
9,Lars,69.99,99.99,23.99,,,
10,Lars,24.99,18.99,35.00,,,
10,Florentin,30.00,20.00,42.90,,,
